"","GEO_ID","NAME","education","gini","med_income","poverty","county","state","hiv_rate","cluster","county_long"
"769","0500000US18141","St. Joseph County, Indiana",91,0.475,58599,14.8,"St. Joseph","Indiana",260,2,"St. Joseph County"
"770","0500000US18143","Scott County, Indiana",81,0.4256,45794,15.7,"Scott","Indiana",730,4,"Scott County"
"771","0500000US18145","Shelby County, Indiana",89.1,0.4061,64070,10.7,"Shelby","Indiana",84,1,"Shelby County"
"772","0500000US18147","Spencer County, Indiana",91.4,0.4531,59624,8.1,"Spencer","Indiana",30,1,"Spencer County"
"773","0500000US18149","Starke County, Indiana",85.6,0.4482,52802,17.5,"Starke","Indiana",76,2,"Starke County"
"774","0500000US18151","Steuben County, Indiana",92.4,0.4075,61698,9.9,"Steuben","Indiana",61,1,"Steuben County"
"775","0500000US18153","Sullivan County, Indiana",87.4,0.4372,49393,12.3,"Sullivan","Indiana",122,1,"Sullivan County"
"776","0500000US18155","Switzerland County, Indiana",85,0.4011,56268,22.8,"Switzerland","Indiana",74,1,"Switzerland County"
"777","0500000US18157","Tippecanoe County, Indiana",92.6,0.4752,53468,18.9,"Tippecanoe","Indiana",133,2,"Tippecanoe County"
"778","0500000US18159","Tipton County, Indiana",90.6,0.3762,65983,9.4,"Tipton","Indiana",46,1,"Tipton County"
"779","0500000US18161","Union County, Indiana",88.2,0.3744,60750,5.9,"Union","Indiana",2,1,"Union County"
"780","0500000US18163","Vanderburgh County, Indiana",90.9,0.4589,54044,16.1,"Vanderburgh","Indiana",210,2,"Vanderburgh County"
"781","0500000US18165","Vermillion County, Indiana",91.4,0.4168,53396,14.5,"Vermillion","Indiana",69,1,"Vermillion County"
"782","0500000US18167","Vigo County, Indiana",89.6,0.4736,48552,18.9,"Vigo","Indiana",231,2,"Vigo County"
"783","0500000US18169","Wabash County, Indiana",89.9,0.4029,59611,11.5,"Wabash","Indiana",46,1,"Wabash County"
"784","0500000US18171","Warren County, Indiana",93.5,0.4149,68136,10.8,"Warren","Indiana",2,1,"Warren County"
"785","0500000US18173","Warrick County, Indiana",94.5,0.4518,85613,6,"Warrick","Indiana",70,3,"Warrick County"
"786","0500000US18175","Washington County, Indiana",86.7,0.4148,53932,13.9,"Washington","Indiana",101,1,"Washington County"
"787","0500000US18177","Wayne County, Indiana",88.2,0.4691,49952,16.8,"Wayne","Indiana",145,2,"Wayne County"
"788","0500000US18179","Wells County, Indiana",93.2,0.3933,62802,8.2,"Wells","Indiana",60,1,"Wells County"
"789","0500000US18181","White County, Indiana",89.1,0.3822,60327,9.3,"White","Indiana",97,1,"White County"
"790","0500000US18183","Whitley County, Indiana",92.1,0.4031,67716,9.6,"Whitley","Indiana",52,1,"Whitley County"
"791","0500000US19001","Adair County, Iowa",94.7,0.4478,57944,11.1,"Adair","Iowa",79,1,"Adair County"
"792","0500000US19003","Adams County, Iowa",94.5,0.5072,57981,13.4,"Adams","Iowa",0,2,"Adams County"
"793","0500000US19005","Allamakee County, Iowa",90.4,0.3957,59461,11.4,"Allamakee","Iowa",12,1,"Allamakee County"
"794","0500000US19007","Appanoose County, Iowa",90.9,0.4734,46900,19.7,"Appanoose","Iowa",48,2,"Appanoose County"
"795","0500000US19009","Audubon County, Iowa",91.8,0.3843,54643,11.3,"Audubon","Iowa",105,1,"Audubon County"
"796","0500000US19011","Benton County, Iowa",94.2,0.3932,72334,8.8,"Benton","Iowa",37,1,"Benton County"
"797","0500000US19013","Black Hawk County, Iowa",92.1,0.4606,57191,15.5,"Black Hawk","Iowa",113,2,"Black Hawk County"
"798","0500000US19015","Boone County, Iowa",94.1,0.4165,70984,7.2,"Boone","Iowa",65,1,"Boone County"
"799","0500000US19017","Bremer County, Iowa",96.5,0.3811,76782,7.1,"Bremer","Iowa",24,3,"Bremer County"
"800","0500000US19019","Buchanan County, Iowa",93.8,0.4024,71024,7.4,"Buchanan","Iowa",59,1,"Buchanan County"
"801","0500000US19021","Buena Vista County, Iowa",79.4,0.4238,53645,10.9,"Buena Vista","Iowa",107,4,"Buena Vista County"
"802","0500000US19023","Butler County, Iowa",94.1,0.4128,61109,11.1,"Butler","Iowa",41,1,"Butler County"
"803","0500000US19025","Calhoun County, Iowa",94,0.4328,60434,11.6,"Calhoun","Iowa",0,1,"Calhoun County"
"804","0500000US19027","Carroll County, Iowa",94.2,0.4275,61157,7.4,"Carroll","Iowa",88,1,"Carroll County"
"805","0500000US19029","Cass County, Iowa",89.3,0.4752,55395,11.2,"Cass","Iowa",12,2,"Cass County"
"806","0500000US19031","Cedar County, Iowa",95.6,0.3802,72714,7.4,"Cedar","Iowa",45,1,"Cedar County"
"807","0500000US19033","Cerro Gordo County, Iowa",93.5,0.4415,58271,9.5,"Cerro Gordo","Iowa",93,1,"Cerro Gordo County"
"808","0500000US19035","Cherokee County, Iowa",93.5,0.4266,59881,11.8,"Cherokee","Iowa",1,1,"Cherokee County"
"809","0500000US19037","Chickasaw County, Iowa",93.3,0.4,67146,7.8,"Chickasaw","Iowa",50,1,"Chickasaw County"
